
ตลอด	ตะลอน
รอยขีดขวด	รอยขีดข่วน
ห้วยกระเจ้า	ห้วยกระเจา
เกาะโพ	เกาะโพธิ์
มีดพระ	มีดพร้า
นี้	เนี้ย
ฤหัส	พฤหัส
วิลัยพร	วิไลพร
รณรงค์	รณณรงค์
แก้วเพชร	แก้วเพ็ชร์
ซอยชายพรวิถี	ซอยชัยพรวิถี
ตำบลหนองปลือ	ตำบลหนองปรือ
อำเภอบาลังมุง	อำเภอบางละมุง
นางชวีวัน	นางฉวีวรรณ
นางมานิด	นางมานิตย์
หนองหงษ์	หนองหงส์
นางมานิด	นางมานิตย์
เต็มปักศรี	เต็มปักษี
สภ.นหงษ์	สภ.หนองหงส์
ถนนสุขุมวิทย์	ถนนสุขุมวิท
ธิรเดช	ธีรเดช
วงเฉลิมวัด	วงศ์เฉลิมวัฒน์
โค้ทอง	โคตรทอง
จังหวัดเชียงบราย	จังหวัดเชียงราย
ปากใต้	ปักษ์ใต้
ก็	ออก
แถลงการ	แถลงการณ์
ปรินา	ปารีณา
นาย	ทนาย
อนัญชัย	อนันต์ชัย
นาย	ทนาย
อนัญ	อนันต์
สุภาษา	สุพรรษา
ภาษา	พรรษา
พันธุ์ตำรวจเอก	พันตำรวจเอก
อลงกร	อลงกรณ์
สิริสงคราม	ศิริสงคราม
อนันต	อนันต์
ชัย	ไชย
สุมนรัฐ	สุมนรัตน์
รัตนชัด	รัตนฉัตร
แสงหยกตรการ	แสงหยกตระการ
รัชนีกร	รชนิกร
รัตนชัด	รัตนฉัตร
รัชนีกร	รชนิกร
มณีรัฐ	มณีรัตน์
รัชนีกร	รชนิกร
มณีรัฐ	มณีรัตน์
รัชนีกร	รชนิกร
รัชนีกร	รชนิกร
วิรัติ	วิรัตน์
นินนาชัย	นินนาท
ธีระพินโย	ไชยธีระภิญโญ
ดร	ดร.
เอ๊	เอ้
สุชัชวี	สุชัชวีร์
เสรีพิสุทธิ์	เสรีพิศุทธ์
ลิ้มเจริญรัฐ	ลิ้มเจริญรัตน์
วัญชัย	วันชัย
วัญชัย	วันชัย
ต่อต่อ	ต่อๆ
เฟอรี่	เฟอร์รี่
เพชรชบูร	เพชรบูรณ์
เจนจิต	เจนจิตร
เสนานุษย์	เสนานุช
ลมเก่า	หล่มเก่า
เพชรชบูรณ์	เพชรบูรณ์
เพชรบูรณ	เพชรบูรณ์
พัก	พรรค
ธนทร	ธนาธร
ธนทร	ธนาธร
พัก	พรรค
แสงกระหนกกุล	แสงกนกกุล
รณวิทย์	รณวิต
พัก	พรรค
พัก	พรรค
อภัยภูเบศ	อภัยภูเบศร
ท้มท้วม	ท้วมๆ
อภัยภูเบศ	อภัยภูเบศร
การวิพากร	กานต์วิภากร
อินมียืน	อินทร์มียืน
จรรย์	จรัญ
หัดใหญ่	หาดใหญ่
จริงจริง	จริงๆ
พงพันธ์	พงศ์พันธุ์
ในทุน	นายทุน
ขวาวไร่	เขวาไร่
จับกลุ่ม	จับกุม
พงพันธ์	พงศ์พันธุ์
ส่วนที่กำลังกัน	สนธิกำลังกัน
จริง	จริงๆ
จริง	จริงๆ
นางลำ	นางรำ
ยิ่งรัก	ยิ่งลักษณ์
ชินวัฒน์	ชินวัตร
ยาลา	ยะลา
สารเจ้า	ศาลเจ้า
วัดต่าง	วัดต่างๆ
ดี	ดีๆ
ของว่า	ของไหว้
ทุก	ทุกๆ
หกร้อยเก้าสิบเอ็ด	691
ปารินา	ปารีณา
สป	ส.ป.ก.
ปรินา	ปารีณา
ปารินา	ปารีณา
ปารินา	ปารีณา
ปารินา	ปารีณา
ไกรคุบ	ไกรคุปต์
สส	ส.ส.
ภักดิ์	พรรค
ศิลปะอาชา	ศิลปอาชา
เนธิพา	เนติพร
ทองทรงวง	ทองทรงวงศ์
โขดทิมธาราม	โขดทิมทาราม
เนธิพา	เนติพร
ตลาดใส่	ตลาดไทร
เสาะไทยสงศ์	เสาะไธสง
ต่าง	ต่างๆ
อักษร	อักษรภัค
เพชรต้นพึ่ง	เพชรต้นผึ้ง
จริง	จริงๆ
ชื่นมื้น	ชื่นมื่น
ทั่วหน้า	ถ้วนหน้า
ขนขวาย	ขวนขวาย
นายกรรมตรี	นายกรัฐมนตรี
เมื่อไหร่	เมื่อไร
ผู้ทอง	ภู่ทอง
พี่นุษย์	พี่นุช
สนทิ	สนธิ
คูเวท	คูเวต
น้องคล้า	หนองคล้า
ภูวิลล่า	พูลวิลล่า
มีกง	มีคง
พระครูประสาท	พระครูประศาสน์
ไอ้นุ่ม	ไอ้หนุ่ม
ตื้อ	ตื๊อ
ฟัด	ขวัญ
วิสัก	วิศักดิ์
วัฒนศาส	วัฒนศัพท์
ภูมิในการ	ผู้อำนวยการ
อบต	อบต.
อบต	อบต.
อบจ	อบจ.
อบต	อบต.
อบต	อบต.
อบต	อบต.
อบต	อบต.
ปียบุตร	ปิยบุตร
พัก	พรรค
สออ	ส.ส.
ปียบุตร	ปิยบุตร
พาราดร	ภราดร
สส	ส.ส.
บุษบาล	บุษบา
ห้องหงมัธยาบีต	ห้องโถงพัทยาบีช
พระครูบาบุญชุม	พระครูบาบุญชุ่ม
น้องน้อง	น้องๆ
โพธาบราม	โพธาราม
นายง	นาโยง
สงกราน	สงกรานต์
วัดทัพกระดาน	วัดทับกระดาน
ขอเข้ามา	ขอขมา
45ชั่วโมง	4-5ชั่วโมง
เช	เชฟ
นายก	นายกฯ
วิสามัน	วิสามัญ
มช	มช.
โพทอง	โพธิ์ทอง
สาร	ศาล
พระขนง	พระโขนง
สปลาว	สปป.ลาว
บาน	บาล
ปริศนธรรม	ปริศนาธรรม
พราซ่า	พลาซ่า
รันตูปัญญัง	รันเตาปันจัง
กรันตัง	กลันตัน
อวดอุตลิ	อวดอุตริ
สุไงโกลก	สุไหงโก-ลก
รำเภย	รำเพย
พงศักดิ์	พงษ์ศักดิ์
ชวาง	ฉวาง
ชวาง	ฉวาง
บร่อหมาน	บรอหมาน
หมีนุ้ย	หมีนยุ้ย
คลองแห่	คลองแห
หัดใหญ่	หาดใหญ่
ถ้ำพันรา	ถ้ำพรรณรา
สมภาพ	สภ.
ชัยนัท	ชัยณัฐ
กรชายนัน	กรณ์ชายานันท์
ตู้เห่า	ตู้ห่าว
อินปิ่นปัก	อินทร์ปิ่นปัก
สุธิพัฒน์	สุทธิพัฒน์
สมสิทา	สมสีทา
นัดกมล	ณัฐกมล
สุเมษวัน	สุเมธวัน
ไว้อะไร	ไว้อาลัย
แซะโม	แซะโมะ
กิมลัง	กิมลั้ง
มัธิปิไข่	มัถปิไข
มีดพระ	มีดพร้า
จ้าละวัน	จ้าละหวั่น
สิบสอง	12
ไทยลำ	ไหหลำ
ยหา	ยะหา
สำนักงานประสุทธิ์	สํานักงานปศุสัตว์
ละนาบ	ระนาบ
ลุงนาง	รัง
ละนาบ	ระนาบ
มโนรา	มโนราห์
มโนรา	มโนราห์
ยหา	ยะหา
นั่งเดิม	ดั้งเดิม
เนี้ย	เนี่ย
ภูลพงศ์	พูนพงษ์
นายนาภากร	นัยนาภากร
นครพิง	นครพิงค์
นายอักรอมเลิศอริยพงกุล	นายอักรอมเลิศอริยพงษ์กุล
วิเชียน	วิเชียร
ถนอมวง	ถนอมวงศ์
ปวีนาหงษกุล	ปวีณาหงสกุล
ขมครู	ข่มขู่
พระดำ	มดดำ
สายัน	สายัณห์
อ้ำ	อั้ม
ยัน	ยัณห์
จิรษัก	จิรศักดิ์
อุทัยบัน	อุทัยบรรพต
คอนบุรี	ครบุรี
นี้รีน่า	ลีน่า
ข้อเก่าหา	ข้อกล่าวหา
ตรง	ตรงๆ
สลัก	แกะสลัก
ชีจันทร์	ชีจรรย์
อยากเรียก	อยากเรียน
เบิกบ้าน	เบิกบาน
56หมื่น	5-6 หมื่น
เธอ	เพื่อ
นาย10	นายสิบ
สี่สิบสี่	44
สายใหม่	สายไหม
ในมอส	นายมอส
ทุกผู้ชม	ท่านผู้ชม
ในหมู	นายหมู
รัศดา	รัษฎา
สิทธิ์คดชวัน	สิทธิคชวัน
ในหมู	นายหมู
ธนา	ทนาย
สิทธิ์คดชวัน	สิทธิคชวัน
รณรงค	รณรงค์
พลตำรวจรี	พลตำรวจตรี
หกหนึ่ง	61
วัดเจดีหอย	วัดเจดีย์หอย
ผาสุพงศ์	ผาสุพงษ์
แสนสุก	แสนสุข
นุษราพร	นุศราพร
ชะยิกา	ชยิกา
ยิ่งลักษ	ยิ่งลักษณ์
ยิ่งรัก	ยิ่งลักษณ์
ชินวัฒน์	ชินวัตร
ตันติกรสุขุม	ตันติกรสุขคุ้ม
ฉลก	โฉลก
กาญจนดิต	กาญจนดิษฐ์
กรกต	กกต.
มัศยิต	มัสยิด
อ่องถวย	อ๋องทวย
กาชาติจังหวัด	กาชาดจังหวัด
ถวย	ทวย
นายอาซิสพิทักษุมพล	นายอาซิสพิทักษ์ชุมพล
มหาจันทร์	มหัศจรรย์
แก่นำ	แกนนำ
ควงด่า	ควงดาบ
ปลูกเดี่ยว	บุกเดี่ยว
แก่	แกน
ชาญวิรากูล	ชาญวีรกูล
ประชาธิบัติ	ประชาธิปัตย์
อุตมะ	อุตตม
ทิติมา	ธิติมา
ตั้งวิบูรพาณิชย์	ตั้งวิบูลย์พาณิชย์
ชัยพา	ชัยภา
ทิติมา	ธิติมา
คุณ	คน
ไน	นาย
รูจี	รุจี
เรื่องต้น	เบื้องต้น
บ่ายโมงครึ่ง	13:30น.
ทิติมา	ฐิติมา
ตำบลลำนางกรอง	ตำบลลำนางรอง
ธิติมา	ฐิติมา
ธิติมา	ฐิติมา
วิบูร	วิบูลย์
บ่อนน	บ่อนนท์
อุดร	อุดรฯ
4โมงเย็น	16:00น.
กระดาวหา	กล่าวหา
กิจสดา	กฤษฎา
โกเมษ	โกเมศ
บริธิธิเริกอายุ	ฤทธินิธิฤกษ์
ปิ้งป้อง	ปิงปอง
พิกุณฑอง	พิกุลทอง
พันนา	พรรณา
ซิลิโครน	ซิลิโคน
ฉัดเชิงเซา	ฉะเชิงเทรา
พระนครศรียุธิยา	พระนครศรีอยุธยา
ผลเอก	พลเอก
ประวิทย์	ประวิตร
จับกลุ่ม	จับกุม
สุวรรณหงษ์	สุวรรณหงส์
ศรีสุธิยากร	ศรีสุทธิยากร
วังว่า	วังหว้า
ศรีประจันทร์	ศรีประจันต์
นรง	ณรงค์
ชัยวัด	ชัยวัฒน์
ธมรัฐ	ถมอรัตน์
ตาน	ตาล
อาฟนอน	อาร์เซนอล
รินเกอร์	บริงเกอร์
สี่	4
กะสู้	กระซู่
ท่าแผ่	ท่าแพ
ท่าแพร	ท่าแพ
ตองอุ	ตองอุ๊
สิบเก้า	19
สมาชิกสภาพผู้แทนรัศดร	สมาชิกผู้แทนราษฎร
สอสอ	สส.
อมรวิวัตร	อมรวิวัฒน์
เอ๊	เอ้
นายนา	นัยนา
ตอยิป	ตอยิบ
ศิริกิจ	สิริกิต์
สรร	สัน
นารากร	นรากร
ศิริกิจ	สิริกิต์
กับตันยู	กตัญญู
ซื้อไหว	พลิ้วไหว
ผ่อนปลน	ผ่อนปรน
ขัดทะศรีมา	ขัดธะสีมา
จำเริน	จำเริญ
ทิพยพงธาดา	ทิพญพงศ์ธาดา
สุประโชค	สุภโชค
สุวโชค	ศุภโชค
หาน	หาญ
สรรกา	สันกลาง
สุภโชค	ศุภโชค
พิเชษ	พิเชษฐ
จิมรนันตสิน	จีระนันตสิน
พนักพนัน	นักพนัน
หนุน	สนับสนุน
มตรี	มนตรี
กลับเรียน	กราบเรียน
พิเชษ	พิเชษฐ์
สภาพ	สภา
รัศดร	ราษฎร
ชมบุรี	ชลบุรี
ดร	ฎร
ใช้	ชาย
23	2-3
ศักระ	สักการะ
ชายาลักษณ์	ฉายาลักษณ์
เกาะแร็ด	เกาะแรต
ดอนศักดิ์	ดอนสัก
ขึ้นลม	คลื่นลม
ปียวุฒิ	ปิยะวุฒิ
พราม	พราหมณ์
ทิติ	ธิติ
ตา	ตาก
นุ่ม	หนุ่ม
มันดา	มารดา
วีรวัตร	วีรวัฒน์
วีรวัตร	วีรวัฒน์
มันดา	มารดา
วีรวัตร	วีรวัฒน์
วีรวัตร	วีรวัฒน์
จุฬา	จุฬาฯ
อุดมศุกร์	อุดมสุข
เที่ยงคืนครึ่ง	00:30น.
รังสรร	รังสรรค์
สอนชายากร	ศรไชยากร
วัญชัย	วันชัย
ขนง	ขโนง
วีรวัตร	วีรวัฒน์
เสรียง	เสลี่ยง
สองนาย	2นาย
1ทุ่ม	19:00น.
กระเบอร์	ทุ่งกระบือ
นายมาโนธ	นายมาโนช
นายมาโนธ	นายมาโนช
นายมาโนธ	นายมาโนช
นายมาโนธ	นายมาโนช
ชรบ	ชรบ.
ประหลัด	ปลัด
บุญยฤทธิ์	บุญญฤทธิ์
บังฟิศ	บังฟิต
รักโอ	รักโอ่
ฟิศ	ฟิต
เสีย	เสี่ย
แป้นวง	แป้นวงศ์
เฮียตี	เฮียตี๋
แป้นวง	แป้นวงศ์
เฮียตี	เฮียตี๋
แป้นวง	แป้นวงศ์
เฮียตี	เฮียตี๋
องศาเซลเซียต	องศาเซลเซียส
กันตะพล	กัณตภณ
แป้นวง	แป้นวงศ์
เฮียตี	เฮียตี๋
กันตะพล	กัณตภณ
เมืองสองแควร์	เมืองสองแคว
วง	วงศ์
พิษนุโลก	พิษณุโลก
ประเพ็ญ	บำเพ็ญ
สนทยา	สนธยา
สะลอน	ตะลอน
สวนสรานรม	สวนสราญรมย์
อรัญญ	อรัญ
ยางศรีสุราษฎร์	ยางสีสุราช
โรงเรียนพิบูรวิทยาลัย	โรงเรียนพิบูลวิทยาลัย
ภัยทูล	ไพฑูรย์
เกรดแก้ว	เกตุแก้ว
ยางศรีสุราษฎร์	ยางสีสุราช
อาภาษณ์	อาพาธ
ท่ากัศยาน	ท่าอากาศยาน
เรื่องต้น	เบื้องต้น
ศิรวิทย์	สิรวิชญ์
เสรีที่วัด	เสรีธิวัฒน์
จานิว	จ่านิว
ศรีบรวิทย์	สิรวิชญ์
24	ยิปซี
ไทยทัก	ทายทัก
ภาย	ไพ่
ทำ	คำ
ไทย	ทาย
จฉา	มิจฉา
เจริญรัฐ	เจริญรัตน์
สอง	2
ชัยนรงค์	ไชยณรงค์
สี่	4
จังตกุล	จังตระกุล
สาม	3
ประทีบ	ประทีป
กิรติเลขา	กีรติเรขา
ที่สอง	ที่2
ชัยนรงค์	ไชยณรงค์
ที่หนึ่ง	ที่1
สลิด	สฤษดิ์
วิทูล	วิฑูรย์
ภูเบส	ภูเบศ
รายรำ	ร่ายรำ
ฤษี	ฤๅษี
สาร	ศาลา
อัจจนานันต์	อรรจนานันท์
สสจ	สสจ.
ถาปากร	ฐาปกรณ์
ขมาคเบ้น	ขะมักเขม้น
แวงนาง	แวงน่าง
พิน	พิณ
หยวน	หย่วน
อุโมง	อุโมงค์
ตั้งคัน	ตั้งครรภ์
สุริน	สุรินทร์
ทิศมัย	พิศมัย
คัน	ครรภ์
ขวาย	ไขว่
กิติ	กิตติ
พยม	พญม
วิเวศธรรมคุณ	วิเวกธรรมคุณ
นิด	นิจ
ทุศ	ทุจ
ภาวะ	พวา
ปุ๊บ	วูบ
สิบห้า	15
ศิลป	สิน
วัชิรพยาบาล	วชิรพยาบาล
นโรงศักดิ์	ณรงค์ศักดิ์
นรงศักดิ์	ณรงค์ศักดิ์
โอสธนากร	โอสถธนากร
บังออน	บังอร
ชนนิการ	ชนนิกานต์
แก๊ง	แบงค์
น้ำแข	น้ำแข็ง
อุตสาห	อุสา
พัก	พรรค
อนุสาวรีชายสมรภูมิ	อนุสาวรีย์ชัยสมรภูมิ
หาดไร่เล	หาดไร่เลย์
หาดฟรีดอม	หาดฟรีด้อม
ใน	นาย
ราชธรรม	ราชทัณฑ์
เจริญฤทธิ	เจริญฤทธิ์
สงวนสัตว์	สงวนสัตย์
ไตรสุรี	ไตรศุลี
ส่งสวย	ส่งส่วย
ธนกร	ธนากร
ธน	ธนา
วิจัยสุขรมย์	วิจัยสุขรม
นพเกตวนาราม	นพเกตุวนาราม
ธนากร	ธนกร
จิรพงศ์	จีรพงศ์
ฟึดฟัด	ปึ๊ดรัด
ไล่รำ	ร่ายรำ
7โมง15นาที	07.15น.
ภูบดินทร์พิทยาลัย	ภูบดินพิทยาลัย
เนืองแน่น	เนื้องแน่น
สำนักส่ง	สำนักสงฆ์
กาชาติ	กาชาด
วิจัยสุขรม	นายวิจัย สุขรมย์
ป	ป.
บุรพา	บูรพา
ผู้สิทธิ์	ผู้สื่อข่าว
นายยก	นายก
คอรมอล	ครม.
ฮาล้าน	ฮาลาล
นูล	นูญ
เพชรชบุรี	เพชรบุรี
วง	วงศ์
กัญจนา	กาณจนา
บ่อ	บอร์ด
สุฮัน	สุพรรณ
ไพรรัฐ	ไพรัตน์
กล้าม	ก้าม
ฉ่ำชา	ฉำฉา
รมนตรี	รัฐมนตรี
ปะเหล็น	ปะเหลียน
ภูมิในการ	ผู้อำนวยการ
โลกเกียรติยศ	โล่เกียรติยศ
ลือเรื่อง	ลือเลื่อง
เจดี	เจดีย์
กรุงอุลันบาตอ	กรุงอูลานบาตอร์
พรายชุมพล	พลายชุมพล
1020	10,20
ทับ	/
ศักระ	สักการะ
ในอำเภอ	นายอำเภอ
อำเภอลำทัพ	อำเภอลำทับ
นายยก	นายก
นางสาวกิติยา	นางสาวกิตติยา
นางสาวกิติยา	นางสาวกิตติยา
นางสาวกิติยา	นางสาวกิตติยา
ชาวตลอดข่าว	เช้าตะลอนข่าว
ศรีมุม	สีมุม
ปรมิน	ปรมินทร์
สามสิบสาม	33
โกศี	โกษี
สอ	ส.
จ้าวาด	เจ้าอาวาส
ภูกรรมยาว	ภูกามยาว
พยักอรุณ	พยัคฆ์อรุณ
แปด	8
หัตกรรม	หัตถกรรม
ชากังลาว	ชากังราว
เริ่มสาย	เลื่อมใส
อูทอง	อู่ทอง
สัพยา	สรรพยา
สตง	สตง.
กรทม	กทม.
มังคับ	บังคับ
แอลกอฮอล	แอลกอฮอล์
สวดพระอภิษฐรรมศพ	สวดพระอภิธรรมศพ
ประคลชัย	ประโคนชัย
4043	40-43
ปรับปรำ	ปรักปรำ
ประสาท	ปราสาท
สาร	ศาล
คิดสกุ	คิชฌกูฏ
สะทน	สถล
รักทรัพย์	ลักทรัพย์
โพ	โพธิ์
รถโชว์	โรดโชว์
บรูนาย	บรูไน
สุขประยูน	ศุขประยูร
ดอนหัวล่อ	ดอนหัวฬ่อ
ป่าศักดิ์	ป่าสัก
อุตภาว	อู่ตะเภา
สภ	สภ.
สารกลาง	ศาลากลาง
ศัยญาติ	ไสยาสน์
พระเชตุพลวิมลมังคลาราม	พระเชตุพนวิมลมังคลาราม
พระเชตุพลวิมลมังคลาราม	พระเชตุพนวิมลมังคลาราม
สมประการ	สมุทรปราการ
หัวล้อ	หัวเราะ
ภัย	ไพร
พระยักษ์	พยัคฆ์
จิ้งรีด	จิ้งหรีด
ชุติการ	ชุติกาญจน์
รุนสวัสดิ	อรุณสวัสดิ์
หนองตาใกล้	หนองตาไก้
ศรีแก้ว	สีแก้ว
ไร้ทอง	ไล้ทอง
บกปป	บก.ปปป.
ตี420นาที	04:20น.
8โมงครึ่ง	8:30น.
อาคารกีฬาเวท	อาคารกีฬาเวสน์
ลำปีหาดท้ายเหมือง	เขาลำปี-หาดท้ายเหมือง
พระบรมศาลีลิกธาตุ	พระบรมสาลีริกธาตุ
แถวแถว	แถวๆ
ก็	กัน
ละ	หละ
นาย	หน่าย
ปลน	ปรน
ทีม	ธีม
นางลำ	นางรำ
อาพับ	อาภัพ
ป้าม	ปล้ำ
ห้วยโจทย์	ห้วยโจด
สลากินแบ่ง	สลากกินแบ่ง
ใน	นาย
เบ้น	เบนซ์
โคคราม	โคกคราม
ปพ	ปภ.
เนกประสงค์	อเนกประสงค์
ชุดคอมมันโด	ชุดคอมมานโด
พ้น	โพ้น
นายกัธมนตรี	นายกรัฐมนตรี
เจาะ	จ่อ
อ่ะ	อะ
สตังค์	สตางค์
กกต	กกต.
กกต	กกต.
อำเภอหนองบัวระเว	อำเภอหนองบัวระเหว
ฟอโร่	ฟอโลว
ไล่เลียง	ไล่เรียง
โป่งไฮ	ป่งไฮ
ซ้าย	สาย
ถวายศักระ	ถวายสักการะ
ศักระ	สักการะ
มนตบ	มณฑป
มนตบ	มณฑป
ครับ	ฮะ
119500	1,195,000
ค่ะ	อะค่ะ
อำเภอธามกา	อำเภอท่ามะกา
พระบรมชายาลักษณ์	พระบรมฉายาลักษณ์
พรนิพา	พรนิภา
ออน	อร
อิน	อินทร์
ปัธมา	ปัฐมา
เกรดไทยสงศ์	เกตุไทสงค์
สวรส	เสาวรส
พรม	พรหม
วัย	ไว
ธิติ	ฐิติ
พงศ์	พงษ์
พงพันธ์	พงษ์พันธ์
ทัพทิม	ทับทิม
นัทพัฒน์	ณัฐพัฒน์
นี	นีย์
ถนน	ฐณณ
ประพา	ประภา
พระยา	ภรรยา
สุพตะ	สุภะตะ
เท่าแก่	เถ้าแก่
45	4,5
ปริ	ปาณิ
มรณ	มรณะ
สาธิออน	ศศิร์อร
กุลสิริเศษ	กุลสิริเสฏฐ์
ฟุ๊ก	ฟลุ๊ค
ธาตุยาบ้า	ทาสยาบ้า
บันลัง	บัลลังก์ 
3ทุ่ม	21.00น.
คิต	คิด
สาบ	สาป
ลำนาราย	ลํานารายณ์
เขลางนคร	เขลางค์นคร
สัมภเวษี	สัมภเวสี
ธานิน	ธานินทร์
ชาปนกิจ	ฌาปนกิจ
น้านไร่	บ้านไร่
แหลกราน	แหลกลาญ
ตำบลกำแพงเศร้า	ตำบลกำแพงเซา
พระสมุทรเจดี	พระสมุทรเจดีย์
ทองพาภูมิ	ทองผาภูมิ
ชาปนกิจ	ฌาปนกิจ
อาม	อาร์ม
สิริ	ศิริ
ป่าทุ่งใหญ่เรสวน	ป่าทุ่งใหญ่นเรศวร
พา	ภา
หก	6
นางสาวทง	บางเสาธง
เอง	เอ็ง
นะ	น่ะ
อุปติเหตุ	อุบัติเหตุ
อำเภอแก้งเคราะห์	อำเภอแก้งคร้อ
สัก	ซัก
เดีย	เดียร์
สามสิบพัฒนา	30พัฒนา
ท่ามโรง	ท่าโรง
วิเชียนบุรี	วิเชียรบุรี
สเล็ป	เซเลบ
หนึ่ง	นึง
หนึ่ง	1
ร9	ร.9
สามนิ้ว	3นิ้ว
สุขีริน	สุคิริน
สุขิริน	สุคิริน
สาร	ศาล
ภัยบูล	ไพบูลย์
ยี่สิบล้านบาท	20ล้านบาท
สาร	ศาล
ประจักรชัย	ประจักษ์ชัย
สี่ปี	4ปี
สิบหกเดือน	16เดือน
อภิสิทธิ์เวชชาชีวะชวน	อภิสิทธิ์ เวชชาชีวะ
ศรีชน	สิชล
จนะ	จะนะ
ทัพยา	ทับยา
อินบุรี	อินทร์บุรี
กรุงเทพ	กรุงเทพฯ
ทท	ททท.
คลองกิว	คลองกิ่ว
โพศพ	โพสพ
ครูคศ	คูคต
เซ็นใด	เซนได
เซ็นได	เซนได
เซ็นได	เซนได
451นาที	4.51น.
ลมเก่า	หล่มเก่า
ร้อย	เรียบร้อย
เกิ่นกระถิ่น	เกริ่นกฐิน
ประดูก	ประดู่
ร้อยนาย	100นาย
ปพ	ปภ.
พระมงกุฎ	พระมงกุฎเกล้า
เมือง	เบื้อง
สดิ้ง	สะดิ้ง
โป๊	โป๊ะ
พิบูรสงคราม	พิบูลสงคราม
ประดูก	ประดู่
สองนาย	2นาย
สองคน	2คน
พราม	พราหมณ์
วัดเกรด	วัดเกต
ตี4	04.00น.
17นาฬิกา	17:00น.
ประวิทย์	ประวิตร
เนา	เนาว์
ฝากค้าง	ฝากขัง
ราชพัฒนภิบูรสงคราม	ราชภัฏพิบูลสงคราม
มาพตาพุธ	มาบตาพุด
รัช	ราช
สรรพญา	สรรพยา
3060	30-60
พญา	พระยา
สันพญา	สรรพยา
ปูชะเนียสถาน	ปูชนียสถาน
ประชาธรรม	ประชาทัณฑ์
ษฐรรม	ธรรม
ภูมิคับ	ผู้บังคับ
ไบท์	ไบค์
โผงเพง	โผงเผง
9	เก้า
น้อง	หนอง
ทยอยทยอย	ทยอยๆ
อื่น	อื่นๆ
บัน	บาล
ต่อแย่	ตอแย
หนึ่ง	นึง
กุชินราย	กุฉินารายณ์
นพัฒน์	ณภัทร
ทุ่งกวาว	ทุ่งกว๋าว
ประสัย	ปราศรัย
พานทรแท้	พานทองแท้
ชินวัฒน	ชินวัตร
สการะ	สักการะ
พันธาเอก	พันจ่าเอก
ซ่า	ซ่าส์
กากัน	ก๋ากั่น
สภาพผู้แทนราษฎร	สภาผู้แทนราษฎร
ก้าวกลาย	ก้าวไกล
น้ำผู	น้ำพุ
หมู่ห้า	หมู่ที่5
สั่นเคลือ	สั่นเครือ
เขากระดง	เขากระโดง
สวาสตร์	สวาท
ร้อยนาย	100นาย
กาชาติ	กาชาด
คาน	คานส์
อุโมง	อุโมงค์
ย่า	หญ้า
กรบ	กลบ
แม่กะเปียง	แม่ก๊ะเปียง
ลาบ	ลาภ
นั้น	นั้นๆ
หกนาย	6นาย
กง	โกง
สองร้อยบาท	200บาท
สิบบาท	10บาท
เมฆ	เมล์
นายกระบนตรี	นายกรัฐมนตรี
พบ	ผบ.
แปดขวบ	8ขวบ
ญาติญาติ	ญาติๆ
